customer_id,customer_name,city,membership
1,Customer_0001,New York,Bronze
2,Customer_0002,San Antonio,Bronze
3,Customer_0003,Philadelphia,Bronze
4,Customer_0004,Houston,Silver
5,Customer_0005,Houston,Silver
6,Customer_0006,San Antonio,Bronze
7,Customer_0007,New York,Silver
8,Customer_0008,Philadelphia,Bronze
9,Customer_0009,Chicago,Silver
10,Customer_0010,New York,Gold
11,Customer_0011,Phoenix,Gold
12,Customer_0012,San Diego,Bronze
13,Customer_0013,Philadelphia,Gold
14,Customer_0014,San Antonio,Gold
15,Customer_0015,Philadelphia,Silver
16,Customer_0016,San Antonio,Gold
17,Customer_0017,Phoenix,Silver
18,Customer_0018,Chicago,Bronze
19,Customer_0019,San Antonio,Gold
20,Customer_0020,Houston,Bronze
21,Customer_0021,Phoenix,Bronze
22,Customer_0022,Los Angeles,Silver
23,Customer_0023,Chicago,Gold
24,Customer_0024,San Diego,Silver
25,Customer_0025,San Antonio,Gold
26,Customer_0026,Philadelphia,Silver
27,Customer_0027,Houston,Bronze
28,Customer_0028,San Antonio,Bronze
29,Customer_0029,Phoenix,Bronze
30,Customer_0030,Houston,Silver
31,Customer_0031,Houston,Silver
32,Customer_0032,Chicago,Bronze
33,Customer_0033,New York,Silver
34,Customer_0034,Phoenix,Silver
35,Customer_0035,San Diego,Gold
36,Customer_0036,New York,Gold
37,Customer_0037,San Antonio,Silver
38,Customer_0038,San Antonio,Gold
39,Customer_0039,Los Angeles,Gold
40,Customer_0040,Philadelphia,Bronze
41,Customer_0041,Chicago,Bronze
42,Customer_0042,San Antonio,Silver
43,Customer_0043,Philadelphia,Bronze
44,Customer_0044,Los Angeles,Bronze
45,Customer_0045,New York,Gold
46,Customer_0046,San Diego,Silver
47,Customer_0047,Houston,Silver
48,Customer_0048,San Diego,Gold
49,Customer_0049,Philadelphia,Bronze
50,Customer_0050,San Antonio,Silver
51,Customer_0051,San Antonio,Silver
52,Customer_0052,Chicago,Gold
53,Customer_0053,Los Angeles,Gold
54,Customer_0054,Houston,Bronze
55,Customer_0055,Houston,Gold
56,Customer_0056,New York,Gold
57,Customer_0057,Phoenix,Gold
58,Customer_0058,Chicago,Silver
59,Customer_0059,Philadelphia,Silver
60,Customer_0060,Philadelphia,Silver
61,Customer_0061,San Diego,Gold
62,Customer_0062,Philadelphia,Gold
63,Customer_0063,Los Angeles,Bronze
64,Customer_0064,San Diego,Silver
65,Customer_0065,Houston,Silver
66,Customer_0066,Los Angeles,Silver
67,Customer_0067,San Diego,Bronze
68,Customer_0068,Los Angeles,Gold
69,Customer_0069,New York,Silver
70,Customer_0070,Houston,Silver
71,Customer_0071,San Antonio,Silver
72,Customer_0072,Chicago,Bronze
73,Customer_0073,Houston,Silver
74,Customer_0074,Chicago,Bronze
75,Customer_0075,Philadelphia,Bronze
76,Customer_0076,Houston,Silver
77,Customer_0077,Los Angeles,Bronze
78,Customer_0078,Chicago,Silver
79,Customer_0079,Phoenix,Bronze
80,Customer_0080,Philadelphia,Silver
81,Customer_0081,San Diego,Silver
82,Customer_0082,Houston,Silver
83,Customer_0083,Chicago,Gold
84,Customer_0084,San Antonio,Silver
85,Customer_0085,Philadelphia,Bronze
86,Customer_0086,Philadelphia,Silver
87,Customer_0087,New York,Gold
88,Customer_0088,Los Angeles,Silver
89,Customer_0089,San Antonio,Gold
90,Customer_0090,San Antonio,Gold
91,Customer_0091,Houston,Bronze
92,Customer_0092,San Antonio,Silver
93,Customer_0093,San Antonio,Silver
94,Customer_0094,Houston,Silver
95,Customer_0095,San Diego,Gold
96,Customer_0096,Los Angeles,Gold
97,Customer_0097,Chicago,Bronze
98,Customer_0098,Philadelphia,Silver
99,Customer_0099,Philadelphia,Bronze
100,Customer_0100,Chicago,Silver
101,Customer_0101,San Antonio,Silver
102,Customer_0102,Chicago,Bronze
103,Customer_0103,San Antonio,Bronze
104,Customer_0104,New York,Bronze
105,Customer_0105,San Antonio,Bronze
106,Customer_0106,San Antonio,Bronze
107,Customer_0107,San Antonio,Bronze
108,Customer_0108,Philadelphia,Gold
109,Customer_0109,Houston,Bronze
110,Customer_0110,Philadelphia,Silver
111,Customer_0111,Los Angeles,Silver
112,Customer_0112,San Antonio,Silver
113,Customer_0113,Phoenix,Bronze
114,Customer_0114,Houston,Bronze
115,Customer_0115,Phoenix,Gold
116,Customer_0116,Phoenix,Bronze
117,Customer_0117,New York,Bronze
118,Customer_0118,Chicago,Silver
119,Customer_0119,Chicago,Gold
120,Customer_0120,New York,Gold
121,Customer_0121,Houston,Bronze
122,Customer_0122,Philadelphia,Silver
123,Customer_0123,Philadelphia,Bronze
124,Customer_0124,Houston,Silver
125,Customer_0125,San Antonio,Bronze
126,Customer_0126,Phoenix,Silver
127,Customer_0127,New York,Bronze
128,Customer_0128,San Antonio,Gold
129,Customer_0129,Phoenix,Silver
130,Customer_0130,Philadelphia,Bronze
131,Customer_0131,Phoenix,Bronze
132,Customer_0132,Phoenix,Bronze
133,Customer_0133,New York,Gold
134,Customer_0134,Phoenix,Silver
135,Customer_0135,San Antonio,Gold
136,Customer_0136,Los Angeles,Gold
137,Customer_0137,Phoenix,Silver
138,Customer_0138,New York,Bronze
139,Customer_0139,Los Angeles,Bronze
140,Customer_0140,Houston,Bronze
141,Customer_0141,San Diego,Bronze
