order_item_id,order_id,product_id,quantity
1,59445,1009,3
2,61509,1122,2
3,54992,1350,3
4,66809,1423,5
5,52461,1482,2
6,63204,1324,3
7,68400,1179,3
8,66223,1186,5
9,65175,1462,4
10,63144,1185,4
11,68915,1443,3
12,67286,1430,3
13,55500,1175,5
14,62481,1243,2
15,58574,1105,5
16,55298,1330,2
17,66364,1166,3
18,50823,1106,1
19,52566,1458,4
20,52107,1285,4
21,54041,1213,5
22,60249,1069,1
23,68847,1250,4
24,69436,1029,2
25,68005,1074,3
26,65190,1053,2
27,59198,1115,4
28,65509,1483,3
29,55364,1464,3
30,63276,1259,3
31,50166,1458,2
32,68070,1225,5
33,69432,1149,4
34,64710,1335,5
35,53495,1351,1
36,55168,1204,4
37,64795,1344,1
38,59990,1301,1
39,60953,1211,3
40,58087,1438,4
41,66715,1357,3
42,53308,1048,2
43,58836,1448,1
44,54448,1476,2
45,63838,1388,5
46,55704,1235,3
47,55989,1276,5
48,53473,1072,5
49,67272,1318,2
50,54347,1202,2
51,67374,1419,4
52,68328,1244,1
53,69282,1375,5
54,56865,1293,2
55,63098,1470,2
56,66551,1422,2
57,51567,1420,2
58,51288,1137,3
59,54139,1029,4
60,69637,1261,4
61,51798,1359,2
62,65296,1370,5
63,66778,1067,2
64,68135,1435,5
65,60575,1417,4
66,60519,1467,5
67,64848,1051,5
68,62691,1270,5
69,65733,1144,1
70,57217,1356,3
71,68672,1158,2
72,58641,1487,2
73,54964,1467,5
74,65015,1446,5
75,62418,1495,4
76,51000,1272,4
77,53328,1270,5
78,50732,1237,5
79,61520,1262,3
80,67499,1297,2
81,56452,1271,4
82,52201,1119,2
83,67026,1321,2
84,64421,1169,5
85,60904,1035,1
86,53991,1495,2
87,63443,1149,1
88,57325,1279,5
89,54902,1306,5
90,55871,1091,3
91,51230,1118,4
92,59807,1237,3
93,65062,1305,3
94,66534,1495,5
95,64482,1451,4
96,67511,1494,1
97,69272,1385,5
98,54441,1376,1
99,58670,1267,4
100,56753,1188,1
101,63696,1140,1
102,66739,1362,5
103,67799,1206,2
104,51793,1474,1
105,60298,1043,1
106,52338,1269,2
107,56598,1073,4
108,59592,1206,2
109,62399,1500,5
110,65803,1115,1
111,69892,1459,3
112,56720,1461,1
113,61190,1309,3
114,51389,1472,1
115,52232,1315,4
116,69358,1442,4
117,68768,1141,1
118,68779,1150,2
119,55231,1196,2
120,63039,1451,4
121,54581,1103,1
122,63638,1495,2
123,59693,1476,3
124,68674,1252,4
125,57474,1408,1
126,62878,1036,4
127,63185,1147,5
128,65769,1179,2
129,51042,1182,3
130,59271,1063,1
131,59045,1006,5
132,54561,1199,1
133,66095,1134,3
134,66651,1478,1
135,51632,1133,5
136,63688,1400,1
137,67232,1077,1
138,55792,1488,1
139,62643,1458,2
140,62466,1025,5
141,50372,1012,1
142,66330,1444,2
143,65004,1281,5
144,55407,1340,3
145,56281,1209,1
146,65364,1039,2
147,66034,1201,1
148,51447,1396,5
149,57179,1076,3
150,62499,1172,3
151,52544,1397,5
152,69979,1284,1
153,54182,1163,4
154,67328,1327,5
155,51290,1343,1
156,67514,1349,5
157,50802,1158,3
158,63608,1454,4
159,57207,1455,2
160,59224,1310,4
161,52174,1114,5
162,63545,1184,4
163,62449,1417,3
164,56424,1408,2
165,59444,1372,2
166,61056,1243,2
167,63760,1436,2
168,60794,1170,5
169,51181,1494,5
170,60875,1470,1
171,56973,1289,3
172,58240,1496,3
173,57416,1365,1
174,57057,1139,2
175,54725,1286,4
176,56608,1136,3
177,64247,1448,5
178,54495,1472,3
179,65180,1309,5
180,58771,1002,1
181,62211,1424,2
182,52355,1120,2
183,54147,1133,2
184,68032,1017,4
185,66621,1023,3
186,51394,1463,3
187,68069,1050,2
188,66749,1268,3
189,52742,1327,4
190,54825,1314,5
191,53553,1418,4
192,67065,1414,5
193,67075,1122,5
194,64406,1348,4
195,55004,1296,4
196,68420,1109,2
197,66949,1263,5
198,67405,1352,1
199,57199,1330,5
200,64022,1289,1
201,63508,1116,1
202,53034,1399,1
203,61655,1112,5
204,60981,1219,2
205,61693,1390,2
206,56797,1454,3
207,63385,1025,1
208,67716,1432,2
209,62093,1347,4
210,67445,1085,2
211,65433,1036,4
212,56281,1098,5
213,64719,1052,5
214,63434,1159,5
215,68875,1122,1
216,56766,1058,5
217,53276,1171,5
218,63564,1412,1
219,62645,1494,2
220,62278,1430,1
221,64797,1229,1
222,60219,1326,4
223,50604,1215,3
224,67569,1287,4
225,55548,1386,3
226,54922,1181,3
227,66282,1135,2
228,65950,1436,2
229,60109,1299,5
230,63791,1259,2
231,51615,1350,1
232,55626,1002,5
233,54858,1429,5
234,58434,1420,2
235,57144,1062,1
236,51381,1142,1
237,63772,1328,5
238,61952,1401,4
239,57587,1003,2
240,67758,1082,5
241,57216,1249,2
242,52357,1060,2
243,66962,1181,2
244,52640,1260,1
245,51427,1408,3
246,59492,1111,4
247,61582,1364,1
248,55625,1134,4
249,66783,1346,5
250,55539,1099,1
251,69273,1085,2
252,62774,1390,1
253,53692,1156,1
254,58206,1464,2
255,51519,1144,5
256,66893,1108,1
257,62959,1098,2
258,58579,1183,4
259,63581,1211,5
260,62306,1104,2
261,61997,1213,5
262,57958,1343,2
263,57031,1175,2
264,55121,1003,4
265,65731,1398,5
266,59427,1013,2
267,59378,1346,3
268,64410,1111,1
269,60621,1398,2
270,69057,1255,5
271,54814,1405,2
272,50844,1179,1
273,58427,1111,2
274,60637,1038,1
275,66425,1474,5
276,62720,1433,1
277,68786,1326,4
278,51715,1426,5
279,60748,1400,4
280,66584,1024,4
281,60044,1465,3
282,55520,1483,1
283,65371,1408,4
284,67499,1324,5
285,55183,1280,2
286,61053,1203,2
287,66095,1240,1
288,53042,1116,3
289,50220,1274,1
290,64785,1162,5
291,65044,1438,5
292,53145,1026,4
293,61940,1034,1
294,64408,1429,5
295,69258,1194,5
296,66164,1281,4
297,54398,1143,5
298,61511,1112,5
299,64664,1224,2
300,55422,1065,1
301,53257,1302,5
302,58747,1067,4
303,64391,1387,3
304,60561,1200,5
305,62089,1005,5
306,63316,1231,4
307,69111,1216,2
308,62679,1029,5
309,52699,1146,3
310,58009,1144,4
311,53398,1369,4
312,65164,1385,3
313,69944,1138,4
314,65429,1467,4
315,54919,1118,2
316,63927,1264,2
317,50423,1087,2
318,55444,1077,1
319,56067,1252,3
320,59388,1123,2
321,56410,1027,4
322,58656,1491,3
323,50199,1349,1
324,66336,1339,2
325,57911,1443,5
326,66164,1365,4
327,51157,1098,3
328,67322,1450,1
329,62528,1248,3
330,54624,1428,5
331,65054,1441,5
332,64970,1004,3
333,64529,1427,3
334,67408,1040,3
335,69079,1391,3
336,53330,1333,5
337,55647,1094,4
338,50799,1466,4
339,51333,1219,2
340,52111,1186,2
341,63840,1492,5
342,62125,1278,4
343,50696,1122,5
344,58433,1432,2
345,52210,1067,5
346,53902,1301,1
347,51112,1207,1
348,60567,1417,3
349,51626,1076,3
350,65711,1294,1
351,68642,1236,3
352,67117,1246,5
353,66473,1310,1
354,65035,1185,1
355,68215,1198,4
356,67711,1152,1
357,54325,1127,2
358,62084,1472,1
359,56121,1231,2
360,66742,1176,4
361,50209,1396,4
362,58344,1066,1
363,57582,1409,4
364,67050,1002,5
365,55892,1004,5
366,67917,1133,5
367,59928,1023,5
368,63729,1248,5
369,60615,1459,3
370,58621,1085,2
371,56084,1114,4
372,55634,1061,2
373,62807,1204,4
374,56504,1215,5
375,67284,1057,2
376,52648,1472,2
377,54309,1168,1
378,50944,1112,4
379,67273,1381,1
380,58289,1331,4
381,50703,1027,2
382,50854,1475,5
383,68362,1225,3
384,67612,1407,3
385,55538,1308,4
386,63000,1400,4
387,55051,1144,3
388,66874,1108,4
389,64308,1411,5
390,58889,1419,5
391,68572,1002,1
392,54480,1050,1
393,69937,1214,1
394,55806,1160,3
395,67775,1426,5
396,67095,1278,1
397,61254,1059,1
398,52438,1233,3
399,65023,1096,4
400,63966,1357,1
401,67305,1328,3
402,54514,1291,2
403,54787,1158,2
404,57064,1316,2
405,57377,1124,2
406,50061,1142,1
407,53071,1262,5
