order_id,customer_id,order_date
50001,693,2025-07-11
50002,534,2025-02-01
50003,998,2025-11-14
50004,772,2025-02-16
50005,17,2025-11-15
50006,379,2025-10-05
50007,290,2025-12-12
50008,588,2025-01-10
50009,266,2025-03-21
50010,967,2025-01-20
50011,300,2025-06-02
50012,522,2025-11-27
50013,123,2025-10-07
50014,910,2025-09-14
50015,912,2025-11-06
50016,794,2025-01-02
50017,352,2025-10-15
50018,59,2025-04-24
50019,711,2025-09-10
50020,430,2025-10-06
50021,991,2025-09-08
50022,699,2025-06-02
50023,539,2025-08-12
50024,987,2025-06-21
50025,801,2025-08-18
50026,459,2025-06-17
50027,19,2025-05-24
50028,93,2025-03-15
50029,444,2025-05-22
50030,563,2025-09-21
50031,31,2025-11-14
50032,127,2025-02-07
50033,705,2025-03-08
50034,752,2025-07-05
50035,30,2025-09-14
50036,508,2025-03-04
50037,81,2025-04-29
50038,724,2025-01-17
50039,835,2025-01-20
50040,870,2025-02-22
50041,599,2025-09-24
50042,629,2025-11-14
50043,927,2025-07-02
50044,613,2025-03-06
50045,447,2025-12-03
50046,755,2025-04-12
50047,591,2025-02-26
50048,843,2025-02-20
50049,525,2025-05-09
50050,870,2025-09-26
50051,45,2025-05-25
50052,37,2025-06-12
50053,100,2025-05-05
50054,557,2025-12-11
50055,709,2025-09-07
50056,217,2025-08-31
50057,156,2025-06-09
50058,861,2025-07-13
50059,751,2025-11-20
50060,649,2025-08-28
50061,489,2025-10-25
50062,421,2025-01-15
50063,21,2025-11-10
50064,189,2025-12-13
50065,897,2025-09-01
50066,340,2025-12-16
50067,705,2025-07-27
50068,704,2025-04-11
50069,310,2025-08-10
50070,205,2025-08-18
50071,692,2025-02-22
50072,94,2025-03-15
50073,495,2025-04-17
50074,889,2025-07-19
50075,712,2025-02-24
50076,765,2025-10-09
50077,84,2025-02-09
50078,200,2025-12-10
50079,276,2025-09-04
50080,293,2025-05-04
50081,195,2025-05-16
50082,973,2025-09-11
50083,165,2025-02-02
50084,709,2025-09-19
50085,587,2025-07-21
50086,611,2025-03-22
50087,215,2025-11-24
50088,308,2025-08-18
50089,607,2025-03-01
50090,300,2025-08-28
50091,695,2025-05-31
50092,40,2025-10-06
50093,73,2025-06-29
50094,729,2025-12-31
50095,617,2025-12-05
50096,44,2025-01-15
50097,900,2025-05-31
50098,5,2025-03-15
50099,956,2025-06-14
50100,730,2025-02-22
50101,989,2025-07-15
50102,949,2025-02-26
50103,314,2025-08-16
50104,757,2025-06-15
50105,211,2025-12-29
50106,472,2025-11-17
50107,241,2025-08-08
50108,487,2025-06-13
50109,873,2025-09-19
50110,437,2025-09-01
50111,93,2025-02-20
50112,325,2025-05-18
50113,787,2025-12-29
50114,522,2025-04-27
50115,561,2025-01-05
50116,432,2025-11-01
50117,293,2025-12-07
50118,599,2025-08-28
50119,634,2025-08-20
50120,899,2025-05-09
50121,618,2025-05-12
50122,996,2025-11-30
50123,827,2025-11-10
50124,79,2025-07-01
50125,393,2025-04-25
50126,385,2025-03-10
50127,4,2025-01-04
50128,181,2025-06-26
50129,763,2025-07-22
50130,353,2025-09-04
50131,148,2025-10-21
50132,288,2025-05-14
50133,275,2025-03-02
50134,175,2025-11-04
50135,102,2025-10-06
50136,765,2025-07-14
50137,825,2025-01-15
50138,497,2025-06-20
50139,616,2025-08-15
50140,920,2025-11-10
50141,843,2025-07-05
50142,33,2025-06-18
50143,953,2025-05-19
50144,67,2025-06-01
50145,27,2025-01-06
50146,404,2025-02-07
50147,746,2025-10-04
50148,81,2025-05-13
50149,293,2025-11-07
50150,263,2025-05-25
50151,398,2025-12-30
50152,987,2025-03-07
50153,332,2025-03-10
50154,209,2025-08-03
50155,123,2025-10-20
50156,199,2025-02-22
50157,134,2025-07-03
50158,574,2025-03-23
50159,421,2025-09-27
50160,498,2025-07-24
50161,833,2025-08-27
50162,581,2025-04-09
50163,156,2025-04-16
50164,377,2025-08-22
50165,313,2025-05-09
50166,827,2025-09-10
50167,308,2025-02-26
50168,139,2025-04-20
50169,737,2025-02-07
50170,429,2025-02-01
50171,96,2025-04-06
50172,690,2025-06-28
50173,211,2025-02-22
